# hard hit
122.24 6
122.35 10
122.46 21
122.57 9
122.69 6
122.80 22
122.91 30
123.02 25
123.13 7
123.25 10
123.36 18
123.47 8
123.58 13
123.69 16
123.81 12
123.92 12
124.03 6
124.14 1
124.26 6
124.37 4
124.48 5
124.59 7
124.70 6
124.82 3
124.93 13
125.04 22
125.15 27
125.26 14
125.38 10
125.49 18
125.60 13
125.71 2
125.83 14
125.94 29
126.05 20
126.16 4
126.27 11
126.39 15
126.50 3
126.61 2
126.72 4
126.83 16
126.95 15
127.06 7
127.17 4
127.28 7
127.40 12
127.51 12
127.62 8
127.73 20
127.84 7
127.96 6
128.07 20
128.18 28
128.29 12
128.40 7
128.52 14
128.63 16
128.74 6
128.85 17
128.97 26
129.08 19
129.19 7
129.30 1
129.41 0
129.53 2
129.64 2
129.75 5
129.86 9
129.97 2
130.09 6
130.20 0
130.31 13
130.42 23
130.54 8
130.65 14
130.76 14
130.87 3
130.98 8
131.10 24
131.21 26
131.32 12
131.43 1
131.54 12
131.66 15
131.77 0
131.88 12
131.99 10
132.11 7
132.22 3
132.33 1
132.44 2
132.55 0
132.67 5
132.78 14
132.89 2
133.00 9
133.11 2
133.23 10
133.34 25
133.45 23
133.56 3
133.68 13
133.79 16
133.90 12
134.01 2
134.12 18
134.24 17
134.35 12
134.46 2
134.57 9
134.68 5
134.80 7
134.91 6
135.02 7
135.13 9
135.25 6
135.36 3
135.47 1
135.58 5
135.69 17
135.81 6
135.92 16
136.03 21
136.14 5
136.25 13
136.37 25
136.48 21
136.59 8
136.70 3
136.82 13
136.93 10
137.04 5
137.15 16
137.26 17
137.38 13
137.49 2
137.60 4
137.71 0
137.82 3
137.94 5
138.05 2
138.16 1
138.27 0
138.39 2
138.50 10
138.61 24
138.72 22
138.83 1
138.95 16
139.06 13
139.17 1
139.28 13
139.39 20
139.51 16
139.62 7
139.73 5
139.84 14
139.95 10
140.07 0
140.18 4
140.29 9
140.40 8
140.52 5
140.63 12
140.74 9
140.85 4
140.96 8
141.08 8
141.19 6
141.30 14
